City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
10,Puerto Ayora,EC,78.76,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
14,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
16,Butaritari,KI,81.63,few clouds,3.0707,172.7902,Isles Sunset Lodge
23,San Carlos,VE,73.83,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
40,Alofi,NU,81.39,broken clouds,-19.0595,-169.9187,Taloa Heights
47,Avarua,CK,82.45,scattered clouds,-21.2078,-159.775,Paradise Inn
49,Atuona,PF,79.75,clear sky,-9.8,-139.0333,Villa Enata
51,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
54,Rikitea,PF,78.49,clear sky,-23.1203,-134.9692,People ThankYou
60,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
72,Ilheus,BR,74.98,overcast clouds,-14.7889,-39.0494,Barravento Hotel
75,Portobelo,PA,83.95,overcast clouds,9.55,-79.65,Scuba Portobelo
84,Angoche,MZ,79.72,overcast clouds,-16.2325,39.9086,Guest House HESADA
109,Piacabucu,BR,80.56,light rain,-10.4056,-36.4344,Piaçabuçu News
119,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
120,Cabedelo,BR,80.6,broken clouds,-6.9811,-34.8339,Hotel Pigalle
122,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
130,Faanui,PF,80.92,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Kavaratti,IN,82.65,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
147,Maragogi,BR,78.49,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
150,Dogondoutchi,NE,84.88,scattered clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
152,High Rock,BS,82.42,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
157,Labuhan,ID,79.39,broken clouds,-6.8844,112.2051,DoubleFAG
159,Kanniyakumari,IN,81.7,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
161,Saravena,CO,74.17,overcast clouds,6.9538,-71.8752,Hotel Diamante Saravena
162,Touros,BR,79.84,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
163,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
168,Pangai,TO,82.33,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
170,Lokoja,NG,76.98,light rain,7.8024,6.743,Hotel Charvid
176,Savannah Bight,HN,81.16,clear sky,16.45,-85.85,Villa on Dunbar Rock
177,Male,MV,83.86,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
185,Dera Bugti,PK,82.42,overcast clouds,29.0307,69.151,Nawab Bugti House
187,Macau,MO,71.4,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
190,Ixtapa,MX,78.03,scattered clouds,20.7,-105.2,hotel la terminal
193,Galveston,US,86.11,clear sky,29.3669,-94.9669,Crystal Suites
194,Galdar,ES,77.5,broken clouds,28.147,-15.6502,Hostel Guide
195,Hambantota,LK,79.36,overcast clouds,6.1241,81.1185,Bungalow 63
196,Kerouane,GN,80.83,overcast clouds,9.2667,-9.0167,Hôtel Sekaseka
198,Mian Channun,PK,82.22,broken clouds,30.44,72.3543,Fateh Din Colony
199,Sao Filipe,CV,72.14,clear sky,14.8961,-24.4956,Hotel Xaguate
202,Gizo,SB,82.69,light rain,-8.103,156.8419,Imagination Island
209,Teguise,ES,73.62,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
210,Manta,EC,77.04,scattered clouds,-0.95,-80.7333,Balandra Hotel
216,Bubaque,GW,75.31,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
217,Bull Savanna,JM,79.2,few clouds,17.8868,-77.5902,Big Red's
220,Waingapu,ID,79.09,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
223,Upata,VE,81.45,broken clouds,8.0086,-62.3989,Posada Villa Nela
229,San Rafael,AR,70.61,clear sky,-34.6177,-68.3301,Hotel San Rafael
231,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
234,Jacareacanga,BR,74.84,broken clouds,-6.2222,-57.7528,Casa do Ian😎
242,Meulaboh,ID,77.56,overcast clouds,4.1363,96.1285,Kost Pria
244,Cap Malheureux,MU,76.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
246,Bambanglipuro,ID,76.82,overcast clouds,-7.95,110.2833,Puri Brata
254,Salvador,SV,83.05,overcast clouds,13.8333,-88.9167,Chico's Ranch
258,Beira,MZ,72.77,light rain,-19.8436,34.8389,Beira Terrace Hotel
260,Pringsewu,ID,73.0,overcast clouds,-5.3582,104.9744,Urban Style by Front One
261,Coruripe,BR,80.58,light rain,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
262,Moratuwa,LK,80.33,broken clouds,6.773,79.8816,Sa Mansion By Yoho
263,Santa Fe,AR,71.94,light rain,-31.6333,-60.7,Conquistador Hotel
268,Puerto Gaitan,CO,79.52,broken clouds,4.3133,-72.0816,Brisas del Yucao
275,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
276,Kigoma,TZ,72.52,light rain,-4.8769,29.6267,MJI Mwema Lodge
284,Tutoia,BR,77.85,overcast clouds,-2.7619,-42.2744,Pousada Guará's
293,Prescott,US,79.95,clear sky,34.54,-112.4685,Prescott Resort & Conference Center
294,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
300,Dingle,PH,75.06,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
307,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
308,Manggar,ID,79.88,broken clouds,-2.8833,108.2667,Guest Hotel
309,Pilar,BR,78.73,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
310,Humberto De Campos,BR,76.89,moderate rain,-2.5983,-43.4611,Pousada do Cabeça
314,Kirakira,SB,83.43,overcast clouds,-10.4544,161.9205,SanBiz Lodge
316,Estelle,US,86.0,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
320,Qena,EG,86.43,scattered clouds,26.1615,32.7183,"Grand hotel ""Quena"""
321,Gabu,GW,84.0,broken clouds,12.2833,-14.2167,Hotel karsa
323,Boyolangu,ID,75.67,overcast clouds,-8.1181,111.8935,Yos ega cv
331,Port Blair,IN,80.82,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
332,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
339,Poso,ID,75.99,broken clouds,-1.3959,120.7524,Hotel 77 Poso
340,Itororo,BR,70.48,overcast clouds,-15.1169,-40.0703,Hotel Indiana
347,Guane,CU,81.79,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
349,Takoradi,GH,79.61,overcast clouds,4.8845,-1.7554,Raybow International Hotel
350,Grajau,BR,75.72,overcast clouds,-5.8194,-46.1386,Hotel Confiança
352,Tchaourou,BJ,83.7,overcast clouds,8.8865,2.5975,SAFIR HOTEL
354,Kudahuvadhoo,MV,83.7,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
362,Marsh Harbour,BS,77.05,broken clouds,26.5412,-77.0636,Abaco Beach Resort
364,Alyangula,AU,81.95,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
365,Wau,SS,84.81,overcast clouds,7.7029,27.9953,Universal Gab Hotel
369,Grand Gaube,MU,77.4,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
378,Balikpapan,ID,77.99,few clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
380,Mareeba,AU,74.12,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
384,Sambava,MG,74.97,broken clouds,-14.2667,50.1667,Melrose
390,Honiara,SB,83.01,overcast clouds,-9.4333,159.95,Heritage Park Hotel
391,Boundiali,CI,79.83,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
