,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kahului,US,20.8947,-156.47,82.42,66,40,16.11,scattered clouds
1,Angoram,PG,-4.0625,144.0661,77.29,95,69,1.41,light rain
2,Ukiah,US,39.1502,-123.2078,70.16,39,0,9.22,clear sky
3,San Mateo Ixtatan,GT,15.8319,-91.4781,67.73,31,17,6.04,few clouds
4,Longkou,CN,37.6508,120.3286,52.39,59,100,6.44,overcast clouds
5,Bredasdorp,ZA,-34.5322,20.0403,60.13,93,75,4.41,broken clouds
6,Port Hardy,CA,50.6996,-127.4199,48.76,59,75,19.64,broken clouds
7,Yulara,AU,-25.2406,130.9889,60.64,51,1,8.05,clear sky
8,Port Alfred,ZA,-33.5906,26.891,63.97,82,20,9.86,few clouds
9,Vaini,TO,-21.2,-175.2,81.23,80,100,13.8,overcast clouds
10,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,73,9.62,light rain
11,Hilo,US,19.7297,-155.09,80.28,81,75,6.91,very heavy rain
12,Tuktoyaktuk,CA,69.4541,-133.0374,14.68,79,100,10.27,overcast clouds
13,Broome,US,42.2506,-75.833,45.63,45,20,12.66,few clouds
14,Saint George,US,37.1041,-113.5841,84.79,13,0,4.61,clear sky
15,Tual,ID,-5.6667,132.75,84.33,73,100,12.37,overcast clouds
16,Butaritari,KI,3.0707,172.7902,81.63,74,11,11.63,few clouds
17,Fairbanks,US,64.8378,-147.7164,38.25,26,0,11.5,clear sky
18,Iqaluit,CA,63.7506,-68.5145,-0.31,64,65,15.99,broken clouds
19,Hobart,AU,-42.8794,147.3294,56.01,92,75,5.75,broken clouds
20,Oussouye,SN,12.485,-16.5469,71.17,74,4,13.96,clear sky
21,Parabel,RU,58.6978,81.4825,27.57,79,37,8.14,scattered clouds
22,Rocha,UY,-34.4833,-54.3333,59.9,83,100,6.38,overcast clouds
23,San Carlos,VE,9.6612,-68.5827,73.83,93,100,4.18,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,47.86,81,100,26.46,light rain
25,Provideniya,RU,64.3833,-173.3,32.36,93,100,22.37,overcast clouds
26,Barth,DE,54.3635,12.7249,44.1,58,7,2.17,clear sky
27,Borger,NL,52.9233,6.7931,50.07,53,0,9.53,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,46.51,93,75,2.3,light rain
29,Astoria,US,46.1879,-123.8313,56.91,51,0,8.05,clear sky
30,Bambous Virieux,MU,-20.3428,57.7575,77.25,94,75,0.0,moderate rain
31,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,78,0,10.36,clear sky
32,Mae Sot,TH,16.7167,98.5667,74.55,87,11,0.54,few clouds
33,Dicabisagan,PH,17.0818,122.4157,75.97,87,96,5.82,overcast clouds
34,Jalu,LY,29.0331,21.5482,64.81,60,97,15.77,overcast clouds
35,Victoria,HK,22.2855,114.1577,72.18,78,100,11.01,overcast clouds
36,Dudinka,RU,69.4058,86.1778,6.62,96,100,9.6,overcast clouds
37,Usakos,NA,-22.0,15.6,70.48,35,30,1.68,scattered clouds
38,Dikson,RU,73.5069,80.5464,-8.73,100,90,4.05,overcast clouds
39,Narsaq,GL,60.9167,-46.05,34.02,87,98,4.14,overcast clouds
40,Alofi,NU,-19.0595,-169.9187,81.39,74,81,10.78,broken clouds
41,Ostrovnoy,RU,68.0531,39.5131,33.39,90,100,12.46,overcast clouds
42,Antofagasta,CL,-23.65,-70.4,61.88,81,26,5.99,scattered clouds
43,Beloha,MG,-25.1667,45.05,73.26,88,78,11.52,broken clouds
44,Arkhangelsk,RU,64.5401,40.5433,33.91,93,75,4.47,broken clouds
45,Airai,TL,-8.9266,125.4092,59.54,87,77,2.33,broken clouds
46,Moron,AR,-34.6534,-58.6198,68.05,73,100,5.53,overcast clouds
47,Avarua,CK,-21.2078,-159.775,82.45,69,28,3.44,scattered clouds
48,Faya,SA,18.3851,42.4509,66.72,36,53,5.68,broken clouds
49,Atuona,PF,-9.8,-139.0333,79.75,78,10,16.71,clear sky
50,Isangel,VU,-19.55,169.2667,81.18,77,100,1.88,overcast clouds
51,Kapaa,US,22.0752,-159.319,80.58,88,100,21.85,light rain
52,Clyde River,CA,70.4692,-68.5914,-5.3,90,100,5.26,overcast clouds
53,Esperance,AU,-33.8667,121.9,60.01,66,77,8.05,broken clouds
54,Rikitea,PF,-23.1203,-134.9692,78.49,67,1,11.74,clear sky
55,Mirabad,AF,30.4362,61.8383,71.92,44,13,16.78,few clouds
56,Tasiilaq,GL,65.6145,-37.6368,33.01,98,100,10.76,light snow
57,Albany,US,42.6001,-73.9662,46.92,51,78,3.0,broken clouds
58,New Norfolk,AU,-42.7826,147.0587,55.65,73,100,1.99,overcast clouds
59,Sayyan,YE,15.1718,44.3244,60.49,31,26,1.41,scattered clouds
60,Georgetown,MY,5.4112,100.3354,82.33,89,20,0.0,few clouds
61,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,broken clouds
62,Thompson,CA,55.7435,-97.8558,30.42,60,100,2.08,overcast clouds
63,Cockburn Town,TC,21.4612,-71.1419,77.88,83,13,20.0,few clouds
64,Ribeira Grande,PT,38.5167,-28.7,58.42,71,17,19.66,few clouds
65,Yellowknife,CA,62.456,-114.3525,17.56,48,98,11.01,overcast clouds
66,Hermanus,ZA,-34.4187,19.2345,62.8,87,52,9.98,broken clouds
67,Pemangkat,ID,1.1667,108.9667,78.53,87,69,6.42,broken clouds
68,Khatanga,RU,71.9667,102.5,4.89,95,98,12.19,overcast clouds
69,Qaanaaq,GL,77.484,-69.3632,-14.93,79,2,2.44,clear sky
70,Busselton,AU,-33.65,115.3333,54.66,76,45,2.35,scattered clouds
71,Nikolskoye,RU,59.7035,30.7861,37.8,77,100,3.83,overcast clouds
72,Ilheus,BR,-14.7889,-39.0494,74.98,83,100,12.35,overcast clouds
73,Sol-Iletsk,RU,51.1631,54.9918,50.49,51,82,5.41,broken clouds
74,Baghdad,IQ,33.3406,44.4009,66.11,24,75,5.75,broken clouds
75,Portobelo,PA,9.55,-79.65,83.95,78,100,6.24,overcast clouds
76,Avola,IT,36.9113,15.1395,53.89,88,63,10.16,moderate rain
77,Coquimbo,CL,-29.9533,-71.3436,56.93,88,40,6.91,scattered clouds
78,Mataura,NZ,-46.1927,168.8643,47.48,68,0,2.55,clear sky
79,Kodiak,US,57.79,-152.4072,42.31,75,100,12.66,overcast clouds
80,College,US,64.8569,-147.8028,38.23,26,0,11.5,clear sky
81,Nanortalik,GL,60.1432,-45.2371,29.71,86,48,9.46,scattered clouds
82,Beringovskiy,RU,63.05,179.3167,30.88,97,100,11.39,light snow
83,Ahipara,NZ,-35.1667,173.1667,69.64,89,98,14.63,light rain
84,Angoche,MZ,-16.2325,39.9086,79.72,79,91,10.94,overcast clouds
85,Barrow,US,71.2906,-156.7887,3.22,78,0,8.05,clear sky
86,Williamsburg,US,37.2707,-76.7075,60.57,48,0,9.22,clear sky
87,Cape Town,ZA,-33.9258,18.4232,62.35,81,40,15.01,scattered clouds
88,Tvoroyri,FO,61.5556,-6.8111,46.9,96,100,12.88,light rain
89,Lagoa,PT,39.05,-27.9833,57.13,65,48,14.7,scattered clouds
90,Christchurch,NZ,-43.5333,172.6333,60.91,70,13,10.36,few clouds
91,Port Elizabeth,ZA,-33.918,25.5701,64.69,96,75,12.66,broken clouds
92,Vestmannaeyjar,IS,63.4427,-20.2734,42.85,70,25,5.66,scattered clouds
93,Ponta Do Sol,PT,32.6667,-17.1,68.63,48,100,12.46,overcast clouds
94,Constitucion,CL,-35.3333,-72.4167,54.86,88,46,5.64,scattered clouds
95,Yar-Sale,RU,66.8333,70.8333,9.7,89,94,8.01,overcast clouds
96,Tura,IN,25.5198,90.2201,67.21,83,0,5.28,clear sky
97,Nemuro,JP,43.3236,145.575,40.44,81,48,7.65,scattered clouds
98,Kuala Terengganu,MY,5.3302,103.1408,79.18,81,62,0.76,broken clouds
99,Hun,LY,29.1268,15.9477,63.86,47,12,8.39,few clouds
100,Castro,BR,-24.7911,-50.0119,55.53,80,3,3.76,clear sky
101,Genhe,CN,50.7833,121.5167,33.39,43,100,6.58,overcast clouds
102,Portland,US,45.5234,-122.6762,60.91,44,100,5.75,overcast clouds
103,Yumen,CN,40.2833,97.2,40.87,28,0,6.49,clear sky
104,Partizan,RU,53.9502,38.098,33.67,94,100,13.27,overcast clouds
105,Bengkulu,ID,-3.8004,102.2655,75.79,91,95,4.38,overcast clouds
106,Nouakchott,MR,18.0858,-15.9785,66.13,81,97,18.16,overcast clouds
107,Novosineglazovskiy,RU,55.0401,61.3792,37.11,67,100,5.73,overcast clouds
108,Quatre Cocos,MU,-20.2078,57.7625,77.11,88,33,12.86,moderate rain
109,Piacabucu,BR,-10.4056,-36.4344,80.56,78,11,11.32,light rain
110,Aklavik,CA,68.2191,-135.0107,19.18,75,100,14.99,overcast clouds
111,Krasavino,RU,60.9614,46.4814,30.22,95,91,4.88,overcast clouds
112,Aksu,CN,41.1231,80.2644,56.17,17,60,7.23,broken clouds
113,Chuy,UY,-33.6971,-53.4616,62.83,75,100,7.05,overcast clouds
114,Batagay,RU,67.6333,134.6333,11.89,91,55,5.17,broken clouds
115,Rundu,NA,-17.9333,19.7667,64.69,92,36,2.04,moderate rain
116,Baruun-Urt,MN,46.6806,113.2792,39.36,41,23,9.08,few clouds
117,Goderich,CA,43.7501,-81.7165,37.9,62,20,12.93,few clouds
118,Sungaipenuh,ID,-2.0833,101.3833,66.61,97,100,1.54,moderate rain
119,San Cristobal,VE,7.7669,-72.225,75.38,87,100,3.96,overcast clouds
120,Cabedelo,BR,-6.9811,-34.8339,80.6,77,81,8.32,broken clouds
121,Dubovskoye,RU,47.4092,42.7575,53.8,60,100,9.13,overcast clouds
122,Salalah,OM,17.0151,54.0924,82.49,83,75,2.3,broken clouds
123,Tiksi,RU,71.6872,128.8694,-5.03,99,80,2.59,broken clouds
124,Guerrero Negro,MX,27.9769,-114.0611,68.81,56,89,18.75,overcast clouds
125,Shenzhen,CN,22.5455,114.0683,72.07,89,100,4.45,overcast clouds
126,Makakilo City,US,21.3469,-158.0858,82.72,55,40,23.02,scattered clouds
127,Amapa,BR,1.0,-52.0,73.54,97,100,4.21,overcast clouds
128,Alto Araguaia,BR,-17.3147,-53.2153,64.92,62,1,4.94,clear sky
129,Sault Sainte Marie,CA,46.5168,-84.3333,44.89,39,0,0.0,clear sky
130,Faanui,PF,-16.4833,-151.75,80.92,73,39,10.33,light rain
131,Inhambane,MZ,-23.865,35.3833,72.46,91,100,5.64,moderate rain
132,Chokurdakh,RU,70.6333,147.9167,4.41,96,89,4.32,overcast clouds
133,Severo-Kurilsk,RU,50.6789,156.125,31.75,76,87,6.96,overcast clouds
134,Batemans Bay,AU,-35.7167,150.1833,61.11,65,78,4.21,broken clouds
135,Jamestown,US,42.097,-79.2353,42.53,40,40,10.36,scattered clouds
136,Dunedin,NZ,-45.8742,170.5036,53.24,71,0,1.59,clear sky
137,Bluff,NZ,-46.6,168.3333,47.8,78,7,8.52,clear sky
138,Grindavik,IS,63.8424,-22.4338,41.47,70,75,8.05,broken clouds
139,Zhigansk,RU,66.7697,123.3711,27.37,79,100,29.82,overcast clouds
140,Santo Antonio Do Ica,BR,-3.1022,-67.9397,78.71,93,52,2.04,broken clouds
141,Mangalia,RO,43.8,28.5833,42.69,91,100,22.59,overcast clouds
142,Husavik,IS,66.0449,-17.3389,40.59,97,100,1.52,light rain
143,Kavaratti,IN,10.5669,72.642,82.65,75,65,5.35,broken clouds
144,Wakkanai,JP,45.4094,141.6739,44.02,69,100,15.61,overcast clouds
145,Flin Flon,CA,54.7682,-101.865,32.11,64,100,1.48,light snow
146,Maceio,BR,-9.6658,-35.7353,80.04,83,40,5.75,scattered clouds
147,Maragogi,BR,-9.0122,-35.2225,78.49,83,54,8.28,broken clouds
148,Hays,US,30.0502,-98.0336,88.0,60,61,1.01,broken clouds
149,Kruisfontein,ZA,-34.0033,24.7314,58.89,90,7,6.08,clear sky
150,Dogondoutchi,NE,13.6393,4.0287,84.88,10,44,10.6,scattered clouds
151,Jian,CN,27.1172,114.9793,53.69,95,100,2.33,overcast clouds
152,High Rock,BS,26.6208,-78.2833,82.42,71,23,10.94,few clouds
